player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,transfers_window,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,statistics_team_id,statistics_team_name,statistics_team_logo,statistics_league_id,statistics_league_name,statistics_league_country,statistics_league_logo,statistics_league_flag,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_number,statistics_games_position,statistics_games_rating,statistics_games_captain,statistics_substitutes_in,statistics_substitutes_out,statistics_substitutes_bench,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved,performance_metric,transfer_type
49859,A. Turan,2016-01-04,34.0,529,Barcelona,530.0,Atletico Madrid,2015,Winter,Arda,Turan,35,1987-01-30,Istanbul,Turkey,Turkey,177.0,76.0,0,https://media-3.api-sports.io/football/players/49859.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2015,18.0,9.0,814.0,NULL,Midfielder,6.733333,0,9.0,6.0,11.0,11.0,4.0,2.0,NULL,3.0,NULL,567.0,8.0,92.0,25.0,0.0,10.0,133.0,53.0,24.0,9.0,NULL,15.0,21.0,5.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.29978904654424066,Spanish
119217,R. Tugarinov,2019-07-16,NULL,540,Espanyol,529.0,Barcelona,2019,Summer,Roman,Tugarinov,24,1999-10-20,Ulan-Ude,Russia,Russia,187.0,NULL,0,https://media-1.api-sports.io/football/players/119217.png,540,Espanyol,https://media-1.api-sports.io/football/teams/540.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2019,0.0,0.0,0.0,NULL,Defender,NULL,0,0.0,0.0,2.0,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,0.0,Spanish
256,Dani Alves,2021-12-13,0.0,529,Barcelona,126.0,Sao Paulo,2021,Other,Daniel,Alves da Silva,40,1983-05-06,Juazeiro,Brazil,Brazil,172.0,70.0,0,https://media-3.api-sports.io/football/players/256.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2021,14.0,13.0,1103.0,NULL,Defender,7.278571,0,1.0,6.0,4.0,5.0,2.0,1.0,0.0,3.0,NULL,916.0,22.0,57.0,30.0,3.0,11.0,110.0,57.0,12.0,12.0,NULL,6.0,27.0,2.0,0.0,1.0,NULL,NULL,0.0,0.0,NULL,0.33232856168604014,Foreign
256,Dani Alves,2021-12-13,0.0,529,Barcelona,126.0,Sao Paulo,2021,Other,Daniel,Alves da Silva,40,1983-05-06,Juazeiro,Brazil,Brazil,172.0,70.0,0,https://media-3.api-sports.io/football/players/256.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2021,0.0,0.0,0.0,NULL,Defender,7.278571,0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,3.0,NULL,916.0,22.0,57.0,30.0,3.0,11.0,110.0,57.0,12.0,12.0,NULL,6.0,27.0,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.3258068225556054,Foreign
47380,Marc Cucurella,2020-09-01,10.0,546,Getafe,529.0,Barcelona,2020,Other,Marc,Cucurella Saseta,25,1998-07-22,Alella,Spain,Spain,172.0,66.0,0,https://media-1.api-sports.io/football/players/47380.png,546,Getafe,https://media-2.api-sports.io/football/teams/546.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,37.0,37.0,3250.0,NULL,Defender,6.735135,0,0.0,6.0,0.0,18.0,8.0,3.0,0.0,2.0,NULL,1100.0,39.0,21.0,64.0,4.0,40.0,492.0,217.0,59.0,24.0,NULL,60.0,69.0,8.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.3894154722981878,Spanish
142,Rafinha,2020-09-01,NULL,529,Barcelona,538.0,Celta Vigo,2020,Other,Rafael,Alcântara do Nascimento,31,1992-02-12,Sao Paulo,Brazil,Brazil,174.0,71.0,0,https://media-2.api-sports.io/football/players/142.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,0.0,0.0,0.0,NULL,Midfielder,NULL,0,0.0,0.0,1.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.0,Spanish
142,Rafinha,2018-07-01,NULL,529,Barcelona,505.0,Inter,2018,Summer,Rafael,Alcântara do Nascimento,31,1992-02-12,Sao Paulo,Brazil,Brazil,174.0,71.0,0,https://media-2.api-sports.io/football/players/142.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2018,5.0,3.0,224.0,NULL,Midfielder,6.825,0,2.0,3.0,5.0,2.0,0.0,0.0,NULL,NULL,NULL,129.0,2.0,90.0,6.0,1.0,1.0,35.0,19.0,0.0,0.0,NULL,8.0,7.0,1.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.23538720161760918,Foreign
18809,Deulofeu,2017-07-01,12.0,529,Barcelona,45.0,Everton,2017,Summer,Gerard,Deulofeu Lázaro,29,1994-03-13,Riudarenes,Spain,Spain,177.0,73.0,0,https://media-3.api-sports.io/football/players/18809.png,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2017,10.0,5.0,503.0,NULL,Attacker,6.82,0,5.0,5.0,8.0,8.0,4.0,1.0,NULL,1.0,NULL,223.0,10.0,82.0,NULL,NULL,8.0,61.0,22.0,21.0,7.0,NULL,5.0,11.0,1.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.26029422891859855,Foreign
30529,Marlon,2017-07-01,5.0,529,Barcelona,124.0,Fluminense,2017,Summer,Marlon,Santos da Silva Barbosa,28,1995-09-07,Duque de Caxias,Brazil,Brazil,182.0,80.0,0,https://media-3.api-sports.io/football/players/30529.png,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2017,0.0,0.0,0.0,NULL,Defender,NULL,0,0.0,0.0,0.0,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,0.0,Foreign
139,S. Umtiti,2016-07-15,25.0,529,Barcelona,80.0,Lyon,2016,Summer,Samuel Yves,Umtiti,30,1993-11-14,Yaoundé,Cameroon,France,182.0,75.0,0,https://media-2.api-sports.io/football/players/139.png,529,Barcelona,https://media-1.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-1.api-sports.io/football/leagues/140.png,https://media-2.api-sports.io/flags/es.svg,2016,25.0,24.0,2133.0,NULL,Defender,7.132,0,1.0,2.0,9.0,6.0,2.0,1.0,NULL,NULL,NULL,1586.0,0.0,91.0,NULL,NULL,47.0,155.0,101.0,10.0,8.0,NULL,21.0,24.0,4.0,0.0,0.0,NULL,NULL,0.0,0.0,NULL,0.28309804767037966,Foreign
