player_id,player_name,transfers_date,transfer_fee,transfers_teams_in_id,transfers_teams_in_name,transfers_teams_out_id,transfers_teams_out_name,season_of_transfer,player_firstname,player_lastname,player_age,player_nationality,player_height,statistics_team_name,statistics_league_season,statistics_games_appearences,statistics_games_lineups,statistics_games_minutes,statistics_games_position,statistics_games_rating,statistics_substitutes_in,statistics_substitutes_out,statistics_shots_total,statistics_shots_on,statistics_goals_total,statistics_goals_conceded,statistics_goals_assists,statistics_goals_saves,statistics_passes_total,statistics_passes_key,statistics_passes_accuracy,statistics_tackles_total,statistics_tackles_blocks,statistics_tackles_interceptions,statistics_duels_total,statistics_duels_won,statistics_dribbles_attempts,statistics_dribbles_success,statistics_dribbles_past,statistics_fouls_drawn,statistics_fouls_committed,statistics_cards_yellow,statistics_cards_yellowred,statistics_cards_red,statistics_penalty_won,statistics_penalty_commited,statistics_penalty_scored,statistics_penalty_missed,statistics_penalty_saved
47511,Juanpe,2016-07-01,,715,Granada CF,720.0,Valladolid,2016.0,Juan Pedro,Ramírez López,32,Spain,190.0,Granada CF,2016,0.0,0.0,0.0,Defender,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
47492,Toni Villa,2022-09-01,0.0,547,Girona,720.0,Valladolid,2022.0,Laureano Antonio,Villa Suárez,28,Spain,172.0,Girona,2022,24.0,12.0,895.0,Midfielder,6.5,12.0,12.0,14.0,3.0,1.0,0.0,3.0,,296.0,15.0,10.0,26.0,,9.0,163.0,68.0,67.0,23.0,,18.0,12.0,2.0,0.0,0.0,,,0.0,0.0,
47497,S. Plaza,2019-01-02,2.0,720,Valladolid,1153.0,Independiente del Valle,2018.0,Stiven Ricardo,Plaza Castillo,24,Ecuador,187.0,Valladolid,2018,2.0,0.0,36.0,Attacker,6.5,2.0,0.0,0.0,0.0,0.0,,,,4.0,0.0,80.0,,0.0,0.0,8.0,3.0,0.0,0.0,,3.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
47476,Yoel,2019-07-01,,545,Eibar,720.0,Valladolid,2019.0,Yoel,Rodríguez Oterino,35,Spain,186.0,Eibar,2019,3.0,3.0,270.0,Goalkeeper,7.066666,0.0,0.0,0.0,0.0,0.0,5.0,,12.0,39.0,0.0,45.0,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0
47491,Luismi,2020-09-25,0.0,797,Elche,720.0,Valladolid,2020.0,Luis Miguel,Sánchez Benítez,31,Spain,180.0,Elche,2020,11.0,2.0,160.0,Midfielder,6.4,9.0,2.0,,,0.0,0.0,,,115.0,,10.0,4.0,,4.0,16.0,8.0,1.0,1.0,,1.0,6.0,0.0,0.0,0.0,,,0.0,0.0,
46698,José Caro,2020-01-13,,720,Valladolid,4907.0,Ponferradina,2019.0,José Antonio,Caro Díaz,29,Spain,194.0,Valladolid,2019,3.0,3.0,245.0,Goalkeeper,7.2,0.0,1.0,0.0,0.0,0.0,4.0,,10.0,29.0,0.0,33.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
104865,S. Gassama,2022-07-01,,720,Valladolid,535.0,Malaga,2022.0,Sekou,Gassama Cissokho,28,Senegal,189.0,Valladolid,2022,1.0,0.0,34.0,Attacker,6.3,1.0,0.0,2.0,,0.0,0.0,,,9.0,1.0,7.0,,,,5.0,2.0,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,
46922,J. Narváez,2022-09-01,,720,Valladolid,732.0,Zaragoza,2022.0,Juan José,Narváez Solarte,28,Colombia,181.0,Valladolid,2022,5.0,1.0,147.0,Midfielder,6.36,4.0,1.0,3.0,,0.0,0.0,,,34.0,,5.0,1.0,,,27.0,14.0,2.0,1.0,,9.0,1.0,0.0,0.0,0.0,,,0.0,0.0,
16369,G. Plata,2022-07-11,3.0,720,Valladolid,228.0,Sporting CP,2022.0,Gonzalo Jordy,Plata Jiménez,23,Ecuador,178.0,Valladolid,2022,34.0,26.0,2307.0,Midfielder,6.679411,8.0,15.0,26.0,13.0,1.0,0.0,5.0,,694.0,37.0,15.0,66.0,,12.0,424.0,189.0,151.0,65.0,,41.0,22.0,1.0,0.0,0.0,,,0.0,0.0,
47433,L. Olaza,2022-07-01,,720,Valladolid,797.0,Elche,2022.0,Lucas René,Olaza Catrofe,29,Uruguay,173.0,Valladolid,2022,23.0,16.0,1494.0,Defender,6.734782,7.0,6.0,4.0,2.0,0.0,0.0,1.0,,571.0,16.0,20.0,24.0,8.0,14.0,139.0,75.0,11.0,4.0,,20.0,12.0,3.0,0.0,0.0,,,0.0,0.0,
