,player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo,statistics.team.id,statistics.team.name,statistics.team.logo,statistics.league.id,statistics.league.name,statistics.league.country,statistics.league.logo,statistics.league.flag,statistics.league.season,statistics.games.appearences,statistics.games.lineups,statistics.games.minutes,statistics.games.number,statistics.games.position,statistics.games.rating,statistics.games.captain,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.shots.total,statistics.shots.on,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.tackles.total,statistics.tackles.blocks,statistics.tackles.interceptions,statistics.duels.total,statistics.duels.won,statistics.dribbles.attempts,statistics.dribbles.success,statistics.dribbles.past,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.penalty.won,statistics.penalty.commited,statistics.penalty.scored,statistics.penalty.missed,statistics.penalty.saved
635,46799,Edu Expósito,Eduardo,Expósito Jaén,27,1996-08-01,Barcelona,Spain,Spain,178 cm,68 kg,False,https://media-3.api-sports.io/football/players/46799.png,545,Eibar,https://media-1.api-sports.io/football/teams/545.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,31.0,27.0,2459.0,,Midfielder,6.922580,False,4.0,8.0,4.0,31.0,9.0,0.0,0.0,3.0,,1065.0,43.0,26.0,51.0,4.0,22.0,309.0,152.0,56.0,41.0,,27.0,29.0,4.0,0.0,0.0,,,0.0,2.0,
636,47016,Álvaro Fernández,Álvaro,Fernández Llorente,25,1998-04-13,Arnedo,Spain,Spain,185 cm,75 kg,False,https://media-3.api-sports.io/football/players/47016.png,726,Huesca,https://media-2.api-sports.io/football/teams/726.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,22.0,22.0,1980.0,,Goalkeeper,6.840909,False,0.0,0.0,16.0,,,0.0,32.0,,65.0,693.0,1.0,22.0,1.0,,2.0,11.0,9.0,,,,3.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
637,47078,Luis Pérez,Luis Jesús,Pérez Maqueda,28,1995-02-04,Utrera,Spain,Spain,173 cm,68 kg,False,https://media-3.api-sports.io/football/players/47078.png,720,Valladolid,https://media-1.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,22.0,15.0,1297.0,,Defender,6.655000,False,7.0,6.0,20.0,1.0,,0.0,0.0,,,448.0,8.0,15.0,33.0,8.0,14.0,129.0,76.0,12.0,5.0,,16.0,15.0,1.0,0.0,0.0,,,0.0,0.0,
638,47352,Fernando Pacheco,Fernando,Pacheco Flores,31,1992-05-18,Badajoz,Spain,Spain,186 cm,81 kg,False,https://media-2.api-sports.io/football/players/47352.png,542,Alaves,https://media-3.api-sports.io/football/teams/542.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,38.0,37.0,3348.0,,Goalkeeper,6.663157,False,1.0,0.0,1.0,,,0.0,56.0,,85.0,964.0,,16.0,2.0,,2.0,15.0,12.0,,,,3.0,,1.0,0.0,0.0,,,0.0,0.0,1.0
639,47474,Jordi Masip,Jordi,Masip López,34,1989-01-03,Sabadell,Spain,Spain,180 cm,76 kg,False,https://media-2.api-sports.io/football/players/47474.png,720,Valladolid,https://media-1.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,25.0,25.0,2250.0,,Goalkeeper,6.716000,False,0.0,0.0,9.0,,,0.0,40.0,,76.0,701.0,,13.0,,,2.0,9.0,7.0,,,,2.0,1.0,3.0,0.0,0.0,,,0.0,0.0,0.0
640,47487,Joaquín Fernández,Joaquín,Fernández Moreno,27,1996-05-31,Huércal de Almería,Spain,Spain,190 cm,72 kg,False,https://media-1.api-sports.io/football/players/47487.png,720,Valladolid,https://media-1.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,25.0,24.0,2076.0,,Midfielder,6.800000,False,1.0,4.0,5.0,7.0,3.0,1.0,0.0,,,775.0,2.0,24.0,30.0,15.0,43.0,184.0,89.0,,,,13.0,28.0,8.0,0.0,0.0,,,0.0,0.0,
641,47496,Óscar Plano,Óscar,Plano Pedreño,32,1991-02-11,Madrid,Spain,Spain,180 cm,72 kg,False,https://media-1.api-sports.io/football/players/47496.png,720,Valladolid,https://media-3.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,36.0,30.0,2530.0,,Attacker,6.841666,False,6.0,18.0,6.0,33.0,10.0,5.0,0.0,5.0,,783.0,25.0,16.0,42.0,6.0,34.0,338.0,167.0,26.0,14.0,,60.0,42.0,1.0,0.0,1.0,,,0.0,0.0,
642,107153,Kike Pérez,Enrique,Pérez Muñoz,26,1997-02-14,Gálvez,Spain,Spain,184 cm,80 kg,False,https://media-3.api-sports.io/football/players/107153.png,720,Valladolid,https://media-3.api-sports.io/football/teams/720.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,24.0,12.0,1153.0,,Midfielder,6.639130,False,12.0,7.0,23.0,11.0,4.0,0.0,0.0,,,515.0,12.0,18.0,28.0,1.0,17.0,217.0,95.0,25.0,18.0,,25.0,31.0,3.0,0.0,0.0,,,0.0,0.0,
643,182759,M. Diarra,Mamady,Diarra,23,2000-06-26,Bamako,Mali,Mali,180 cm,,False,https://media-3.api-sports.io/football/players/182759.png,724,Cadiz,https://media-2.api-sports.io/football/teams/724.png,140,La Liga,Spain,https://media-2.api-sports.io/football/leagues/140.png,https://media-3.api-sports.io/flags/es.svg,2020,0.0,0.0,0.0,,Attacker,,False,0.0,0.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
644,146,Álex Collado,Álex,Collado Gutiérrez,24,1999-04-22,Sabadell,Spain,Spain,177 cm,66 kg,False,https://media-1.api-sports.io/football/players/146.png,529,Barcelona,https://media-2.api-sports.io/football/teams/529.png,140,La Liga,Spain,https://media-3.api-sports.io/football/leagues/140.png,https://media-1.api-sports.io/flags/es.svg,2020,0.0,0.0,0.0,,Midfielder,,False,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,
