In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
Roberto Olabe,23,Spain,Central Midfield,CM,€400k,Atlético de Madrid B,Spain,€3.00m,SD Eibar,2019
Marc Cucurella,20,Spain,Left-Back,LB,€40.00m,FC Barcelona,Spain,€2.00m,SD Eibar,2019
Takashi Inui,31,Japan,Left Winger,LW,€500k,Real Betis Balompié,Spain,€2.00m,SD Eibar,2019
Rubén Lobato,25,Spain,Left-Back,LB,€50k,Real Oviedo Vetusta,Spain,free transfer,SD Eibar,2019
Asier Benito,24,Spain,Centre-Forward,CF,€250k,Bilbao Athletic,Spain,free transfer,SD Eibar,2019
Esteban Burgos,27,Argentina,Centre-Back,CB,€800k,AD Alcorcón,Spain,free transfer,SD Eibar,2019
Rober Correa,26,Spain,Right-Back,RB,€800k,Cádiz CF,Spain,free transfer,SD Eibar,2019
Álvaro Tejero,22,Spain,Right-Back,RB,€1.80m,Real Madrid Castilla,Spain,free transfer,SD Eibar,2019
Martin Braithwaite,28,Denmark,Centre-Forward,CF,€6.00m,Middlesbrough FC,England,€5.00m,CD Leganés,2019
Kenneth Omeruo,25,Nigeria,Centre-Back,CB,€1.50m,Chelsea FC,England,€5.00m,CD Leganés,2019
Jonathan Silva,25,Argentina,Left-Back,LB,€1.00m,Sporting CP,Portugal,€2.70m,CD Leganés,2019
Juan Muñoz,23,Spain,Centre-Forward,CF,€900k,AD Alcorcón,Spain,€1.50m,CD Leganés,2019
Roberto Rosales,30,Venezuela,Right-Back,RB,€450k,Málaga CF,Spain,€1.20m,CD Leganés,2019
Federico Varela,23,Argentina,Attacking Midfield,AM,€350k,FC Porto B,Portugal,€1.00m,CD Leganés,2019
Brian Melendres,18,Spain,Midfield,Midfield,-,UnknownUnknown,Unknown,free transfer,CD Leganés,2019
Sabin Merino,27,Spain,Centre-Forward,CF,€500k,Athletic Bilbao,Spain,free transfer,CD Leganés,2019
Álex Martín,21,Spain,Centre-Back,CB,€800k,Real Madrid Castilla,Spain,free transfer,CD Leganés,2019
Kleandro Lleshi,19,Albania,Central Midfield,CM,€150k,CD Leganés B,Spain,-,CD Leganés,2019
Borja Iglesias,26,Spain,Centre-Forward,CF,€25.00m,RCD Espanyol Barcelona,Spain,€28.00m,Real Betis Balompié,2019
Giovani Lo Celso,23,Argentina,Central Midfield,CM,€18.00m,Paris Saint-Germain,France,€22.00m,Real Betis Balompié,2019
Nabil Fekir,26,France,Attacking Midfield,AM,€30.00m,Olympique Lyon,France,€19.75m,Real Betis Balompié,2019
Álex Moreno,26,Spain,Left-Back,LB,€20.00m,Rayo Vallecano,Spain,€9.70m,Real Betis Balompié,2019
Juanmi,26,Spain,Left Winger,LW,€15.00m,Real Sociedad,Spain,€8.00m,Real Betis Balompié,2019
Dani Martín,21,Spain,Goalkeeper,GK,€1.50m,Sporting Gijón,Spain,€5.00m,Real Betis Balompié,2019
Guido Rodríguez,25,Argentina,Defensive Midfield,DM,€28.00m,CF América,Mexico,€4.00m,Real Betis Balompié,2019
Aitor Ruibal,23,Spain,Right-Back,RB,€5.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2019
Ismael Gutiérrez,19,Spain,Central Midfield,CM,€200k,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2019
Paco Alcácer,26,Spain,Centre-Forward,CF,€8.00m,Borussia Dortmund,Germany,€23.00m,Villarreal CF,2019
Rubén Peña,27,Spain,Right-Back,RB,€2.50m,SD Eibar,Spain,€8.00m,Villarreal CF,2019
Javi Ontiveros,21,Spain,Left Winger,LW,€600k,Málaga CF,Spain,€7.50m,Villarreal CF,2019
Raúl Albiol,33,Spain,Centre-Back,CB,€3.00m,SSC Napoli,Italy,€4.00m,Villarreal CF,2019
Moi Gómez,25,Spain,Left Winger,LW,€10.00m,Sporting Gijón,Spain,€1.30m,Villarreal CF,2019
Alberto Moreno,27,Spain,Left-Back,LB,€4.00m,Liverpool FC,England,free transfer,Villarreal CF,2019
Xavi Quintillà,22,Spain,Left-Back,LB,€1.00m,Villarreal CF B,Spain,-,Villarreal CF,2019
Enric Franquesa,22,Spain,Left-Back,LB,€800k,Villarreal CF B,Spain,-,Villarreal CF,2019
Soufiane Chakla,26,Morocco,Centre-Back,CB,€500k,Villarreal CF B,Spain,-,Villarreal CF,2019
Rúben Vezo,25,Portugal,Centre-Back,CB,€4.00m,Valencia CF,Spain,€5.00m,Levante UD,2019
Sergio León,30,Spain,Centre-Forward,CF,€2.00m,Real Betis Balompié,Spain,€4.00m,Levante UD,2019
Gonzalo Melero,25,Spain,Central Midfield,CM,€4.00m,SD Huesca,Spain,€3.60m,Levante UD,2019
Carlos Clerc,27,Spain,Left-Back,LB,€1.80m,CA Osasuna,Spain,free transfer,Levante UD,2019
Bruno González,29,Spain,Centre-Back,CB,€500k,Getafe CF,Spain,free transfer,Levante UD,2019
Rober Pier,24,Spain,Centre-Back,CB,€1.20m,Deportivo de La Coruña,Spain,free transfer,Levante UD,2019
Óscar Duarte,30,Costa Rica,Centre-Back,CB,€600k,RCD Espanyol Barcelona,Spain,free transfer,Levante UD,2019
Hernâni,27,Portugal,Right Winger,RW,€300k,FC Porto,Portugal,free transfer,Levante UD,2019
Jorge Miramón,30,Spain,Right-Back,RB,€1.80m,SD Huesca,Spain,free transfer,Levante UD,2019
Nemanja Radoja,26,Serbia,Defensive Midfield,DM,€1.50m,Celta de Vigo,Spain,free transfer,Levante UD,2019
Pepelu,20,Spain,Defensive Midfield,DM,€3.00m,Atlético Levante UD,Spain,-,Levante UD,2019
Fran Manzanara,22,Spain,Central Midfield,CM,€400k,Atlético Levante UD,Spain,-,Levante UD,2019
Pablo Hervías,26,Spain,Right Winger,RW,€600k,SD Eibar,Spain,€1.00m,Real Valladolid CF,2019
Sekou Gassama,24,Senegal,Centre-Forward,CF,€400k,UD Almería,Spain,€400k,Real Valladolid CF,2019
Marcos André,22,Brazil,Centre-Forward,CF,€3.00m,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2019
Mohammed Salisu,20,Ghana,Centre-Back,CB,€18.00m,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2019
Hatem Ben Arfa,32,France,Attacking Midfield,AM,€500k,Without ClubWithout Club,Without Club,-,Real Valladolid CF,2019
Moctar El Hacen,22,Mauritania,Defensive Midfield,DM,€200k,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2019
Denis Suárez,25,Spain,Attacking Midfield,AM,€5.00m,FC Barcelona,Spain,€12.90m,Celta de Vigo,2019
Joseph Aidoo,23,Ghana,Centre-Back,CB,€8.00m,KRC Genk,Belgium,€8.00m,Celta de Vigo,2019
Santi Mina,23,Spain,Centre-Forward,CF,€4.00m,Valencia CF,Spain,free transfer,Celta de Vigo,2019
Nolito,33,Spain,Left Winger,LW,€400k,Sevilla FC,Spain,free transfer,Celta de Vigo,2019
Iván Villar,21,Spain,Goalkeeper,GK,€1.20m,Celta Vigo B,Spain,-,Celta de Vigo,2019
Rubén García,25,Spain,Left Winger,LW,€6.00m,Levante UD,Spain,€3.50m,CA Osasuna,2019
Chimy Ávila,25,Argentina,Centre-Forward,CF,€10.00m,CA San Lorenzo de Almagro,Argentina,€2.70m,CA Osasuna,2019
Marc Cardona,23,Spain,Centre-Forward,CF,€1.00m,FC Barcelona,Spain,€2.50m,CA Osasuna,2019
Brandon Thomas,24,Spain,Centre-Forward,CF,€1.20m,Stade Rennais FC,France,€2.00m,CA Osasuna,2019
Rober Ibáñez,26,Spain,Right Winger,RW,€500k,Getafe CF,Spain,€2.00m,CA Osasuna,2019
Darko Brasanac,27,Serbia,Central Midfield,CM,€2.00m,Real Betis Balompié,Spain,€1.00m,CA Osasuna,2019
Facundo Roncaglia,32,Argentina,Centre-Back,CB,€250k,Celta de Vigo,Spain,€250k,CA Osasuna,2019
Adrián López,31,Spain,Centre-Forward,CF,€200k,FC Porto,Portugal,free transfer,CA Osasuna,2019
Jaume Grau,22,Spain,Central Midfield,CM,€700k,Real Madrid Castilla,Spain,free transfer,CA Osasuna,2019
Jon Moncayola,21,Spain,Central Midfield,CM,€12.00m,CA Osasuna Promesas,Spain,-,CA Osasuna,2019
Juan Pérez,22,Spain,Goalkeeper,GK,€600k,CA Osasuna Promesas,Spain,-,CA Osasuna,2019
Iván Barbero,21,Spain,Centre-Forward,CF,€500k,CA Osasuna Promesas,Spain,-,CA Osasuna,2019
Darwin Machís,26,Venezuela,Left Winger,LW,€4.00m,Udinese Calcio,Italy,€5.00m,Granada CF,2019
Domingos Duarte,24,Portugal,Centre-Back,CB,€8.00m,Sporting CP,Portugal,€3.49m,Granada CF,2019
Antoñín,19,Spain,Centre-Forward,CF,€800k,Málaga CF,Spain,€1.50m,Granada CF,2019
Yan Eteki,21,Cameroon,Defensive Midfield,DM,€1.00m,Sevilla FC,Spain,€1.00m,Granada CF,2019
Fede Vico,24,Spain,Attacking Midfield,AM,€2.00m,CD Leganés,Spain,€250k,Granada CF,2019
Neyder Lozano,25,Colombia,Centre-Back,CB,€300k,Elche CF,Spain,free transfer,Granada CF,2019
Roberto Soldado,34,Spain,Centre-Forward,CF,€800k,Fenerbahce,Turkey,free transfer,Granada CF,2019
Ismail Köybasi,30,Turkey,Left-Back,LB,€200k,Fenerbahce,Turkey,free transfer,Granada CF,2019
Carlos Neva,23,Spain,Left-Back,LB,€2.00m,Recreativo Granada,Spain,-,Granada CF,2019
Ante Budimir,27,Croatia,Centre-Forward,CF,€6.00m,FC Crotone,Italy,€2.20m,RCD Mallorca,2019
Yannis Salibur,28,France,Right Winger,RW,€225k,EA Guingamp,France,€2.00m,RCD Mallorca,2019
Martin Valjent,23,Slovakia,Centre-Back,CB,€4.50m,Chievo Verona,Italy,€1.50m,RCD Mallorca,2019
Igor Zlatanovic,21,Serbia,Centre-Forward,CF,€900k,FK Radnik Surdulica,Serbia,€1.30m,RCD Mallorca,2019
Sung-yueng Ki,31,"Korea, South",Defensive Midfield,DM,€750k,Newcastle United,England,free transfer,RCD Mallorca,2019
Aleksandar Trajkovski,26,North Macedonia,Left Winger,LW,€500k,SSD Palermo,Italy,free transfer,RCD Mallorca,2019
Aleix Febas,23,Spain,Central Midfield,CM,€1.00m,Real Madrid Castilla,Spain,free transfer,RCD Mallorca,2019
Josep Señé,27,Spain,Attacking Midfield,AM,€400k,Cultural Leonesa,Spain,free transfer,RCD Mallorca,2019
Álex Alegría,26,Spain,Centre-Forward,CF,€200k,Real Betis Balompié,Spain,free transfer,RCD Mallorca,2019
Aleksandar Sedlar,27,Serbia,Centre-Back,CB,€500k,Piast Gliwice,Poland,free transfer,RCD Mallorca,2019
Pablo Chavarría,31,Argentina,Centre-Forward,CF,€300k,Stade Reims,France,free transfer,RCD Mallorca,2019
Iñigo Ruiz de Galarreta,26,Spain,Central Midfield,CM,€2.00m,UD Las Palmas,Spain,?,RCD Mallorca,2019
No new arrivals,Real Madrid,2020
Miralem Pjanic,30,Bosnia-Herzegovina,Central Midfield,CM,€8.00m,Juventus FC,Italy,€60.00m,FC Barcelona,2020
Trincão,20,Portugal,Right Winger,RW,€15.00m,SC Braga,Portugal,€31.00m,FC Barcelona,2020
Sergiño Dest,19,United States,Right-Back,RB,€12.00m,Ajax Amsterdam,Netherlands,€21.00m,FC Barcelona,2020
Óscar Mingueza,21,Spain,Centre-Back,CB,€3.00m,FC Barcelona B,Spain,-,FC Barcelona,2020
Monchu,20,Spain,Central Midfield,CM,€5.00m,FC Barcelona B,Spain,-,FC Barcelona,2020
Ronald Araújo,21,Uruguay,Centre-Back,CB,€70.00m,FC Barcelona B,Spain,-,FC Barcelona,2020
Riqui Puig,20,Spain,Central Midfield,CM,€8.00m,FC Barcelona B,Spain,-,FC Barcelona,2020
Ansu Fati,17,Spain,Left Winger,LW,€35.00m,FC Barcelona B,Spain,-,FC Barcelona,2020
Álvaro Morata,27,Spain,Centre-Forward,CF,€25.00m,Chelsea FC,England,€35.00m,Atlético de Madrid,2020
Yannick Carrasco,27,Belgium,Left Winger,LW,€25.00m,Dalian Professional,China,€27.00m,Atlético de Madrid,2020
Geoffrey Kondogbia,27,Central African Republic,Defensive Midfield,DM,€18.00m,Valencia CF,Spain,€15.00m,Atlético de Madrid,2020
Luis Suárez,33,Uruguay,Centre-Forward,CF,€4.00m,FC Barcelona,Spain,€9.00m,Atlético de Madrid,2020
Ivo Grbic,24,Croatia,Goalkeeper,GK,€3.50m,NK Lokomotiva Zagreb,Croatia,€3.50m,Atlético de Madrid,2020
Manu Sánchez,19,Spain,Left-Back,LB,€10.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2020
Rodrigo Riquelme,20,Spain,Left Winger,LW,€10.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2020
Suso,26,Spain,Right Winger,RW,€7.00m,AC Milan,Italy,€21.70m,Sevilla FC,2020
Óscar Rodríguez,22,Spain,Attacking Midfield,AM,€10.00m,Real Madrid,Spain,€13.50m,Sevilla FC,2020
Oussama Idrissi,24,Morocco,Left Winger,LW,€4.00m,AZ Alkmaar,Netherlands,€12.00m,Sevilla FC,2020
Marcos Acuña,28,Argentina,Left-Back,LB,€12.00m,Sporting CP,Portugal,€11.25m,Sevilla FC,2020
Papu Gómez,32,Argentina,Left Winger,LW,€3.00m,Atalanta BC,Italy,€6.40m,Sevilla FC,2020
Bono,29,Morocco,Goalkeeper,GK,€12.00m,Girona FC,Spain,€4.00m,Sevilla FC,2020
Ivan Rakitic,32,Croatia,Central Midfield,CM,€4.00m,FC Barcelona,Spain,€3.50m,Sevilla FC,2020
Karim Rekik,25,Netherlands,Centre-Back,CB,€4.00m,Hertha BSC,Germany,€2.00m,Sevilla FC,2020
José Alonso Lara,20,Spain,Left Winger,LW,€400k,Sevilla Atlético,Spain,-,Sevilla FC,2020
Juan Berrocal,21,Spain,Centre-Back,CB,€1.00m,Sevilla Atlético,Spain,-,Sevilla FC,2020
Pervis Estupiñán,22,Ecuador,Left-Back,LB,€20.00m,Watford FC,England,€16.40m,Villarreal CF,2020
Francis Coquelin,29,France,Defensive Midfield,DM,€5.00m,Valencia CF,Spain,€7.10m,Villarreal CF,2020
Gerónimo Rulli,28,Argentina,Goalkeeper,GK,€10.00m,Real Sociedad,Spain,€5.00m,Villarreal CF,2020
Jorge Cuenca,20,Spain,Centre-Back,CB,€5.00m,FC Barcelona B,Spain,€2.50m,Villarreal CF,2020
Dani Parejo,31,Spain,Central Midfield,CM,€7.00m,Valencia CF,Spain,€2.25m,Villarreal CF,2020
Étienne Capoue,32,France,Defensive Midfield,DM,€3.00m,Watford FC,England,€2.00m,Villarreal CF,2020
Mario González,24,Spain,Centre-Forward,CF,€4.00m,Clermont Foot 63,France,free transfer,Villarreal CF,2020
Yéremy Pino,17,Spain,Right Winger,RW,€38.00m,FC Villarreal C,Spain,-,Villarreal CF,2020
Fer Niño,19,Spain,Centre-Forward,CF,€3.00m,Villarreal CF B,Spain,-,Villarreal CF,2020
Iván Martín,21,Spain,Attacking Midfield,AM,€1.00m,Villarreal CF B,Spain,-,Villarreal CF,2020
Álex Baena,19,Spain,Left Winger,LW,€20.00m,Villarreal CF B,Spain,-,Villarreal CF,2020
Marc Cucurella,21,Spain,Left-Back,LB,€40.00m,FC Barcelona,Spain,€11.80m,Getafe CF,2020
Enes Ünal,23,Turkey,Centre-Forward,CF,€25.00m,Villarreal CF,Spain,€9.00m,Getafe CF,2020
Hugo Duro,20,Spain,Centre-Forward,CF,€5.00m,Getafe CF B,Spain,-,Getafe CF,2020
Carlos Fernández,24,Spain,Centre-Forward,CF,€4.00m,Sevilla FC,Spain,€10.00m,Real Sociedad,2020
David Silva,34,Spain,Attacking Midfield,AM,€4.00m,Manchester City,England,free transfer,Real Sociedad,2020
Martín Zubimendi,21,Spain,Defensive Midfield,DM,€40.00m,Real Sociedad B,Spain,-,Real Sociedad,2020
Roberto López,20,Spain,Attacking Midfield,AM,€2.50m,Real Sociedad B,Spain,-,Real Sociedad,2020
Javi Jiménez,23,Spain,Centre-Back,CB,€200k,Valencia Mestalla,Spain,-,Valencia CF,2020
Hugo Guillamón,20,Spain,Defensive Midfield,DM,€22.00m,Valencia Mestalla,Spain,-,Valencia CF,2020
Cristian Rivero,22,Spain,Goalkeeper,GK,€200k,Valencia Mestalla,Spain,-,Valencia CF,2020
Yunus Musah,17,United States,Central Midfield,CM,€22.00m,Valencia Mestalla,Spain,-,Valencia CF,2020
Álex Berenguer,25,Spain,Left Winger,LW,€15.00m,Torino FC,Italy,€12.00m,Athletic Bilbao,2020
Jokin Ezkieta,23,Spain,Goalkeeper,GK,€300k,Bilbao Athletic,Spain,-,Athletic Bilbao,2020
Oihan Sancet,20,Spain,Attacking Midfield,AM,€30.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2020
Dani Vivian,21,Spain,Centre-Back,CB,€14.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2020
Jon Morcillo,21,Spain,Left Winger,LW,€3.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2020
Unai Vencedor,19,Spain,Central Midfield,CM,€14.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2020
Oier Zarraga,22,Spain,Central Midfield,CM,€3.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2020
Luis Suárez,22,Colombia,Centre-Forward,CF,€9.00m,Watford FC,England,€7.00m,Granada CF,2020
Luis Milla,25,Spain,Central Midfield,CM,€5.00m,CD Tenerife,Spain,€5.00m,Granada CF,2020
Maxime Gonalons,31,France,Defensive Midfield,DM,€1.00m,AS Roma,Italy,€4.00m,Granada CF,2020
Alberto Soro,21,Spain,Right Winger,RW,€1.50m,Real Madrid,Spain,€2.50m,Granada CF,2020
Dimitri Foulquier,27,Guadeloupe,Right-Back,RB,€3.00m,Watford FC,England,€2.00m,Granada CF,2020
Jorge Molina,38,Spain,Centre-Forward,CF,€800k,Getafe CF,Spain,free transfer,Granada CF,2020
Adrián Marín,24,Spain,Left-Back,LB,€1.50m,Deportivo Alavés,Spain,free transfer,Granada CF,2020
Enric Gallego,33,Spain,Centre-Forward,CF,€600k,Getafe CF,Spain,€3.00m,CA Osasuna,2020
Juan Cruz,28,Spain,Left-Back,LB,€2.50m,Elche CF,Spain,€3.00m,CA Osasuna,2020
Lucas Torró,26,Spain,Defensive Midfield,DM,€7.00m,Eintracht Frankfurt,Germany,€2.00m,CA Osasuna,2020
Raúl Navas,32,Spain,Centre-Back,CB,€300k,Real Sociedad,Spain,€250k,CA Osasuna,2020
Jorge de Frutos,23,Spain,Right Winger,RW,€8.00m,Real Madrid,Spain,€2.00m,Levante UD,2020
Dani Gómez,22,Spain,Centre-Forward,CF,€2.00m,Real Madrid,Spain,€2.00m,Levante UD,2020
Mickaël Malsa,24,Martinique,Defensive Midfield,DM,€1.50m,CD Mirandés,Spain,free transfer,Levante UD,2020
Son,26,Spain,Right-Back,RB,€1.00m,SD Ponferradina,Spain,free transfer,Levante UD,2020
Arturo Molina,24,Spain,Attacking Midfield,AM,€300k,Atlético Levante UD,Spain,-,Levante UD,2020
Pablo Martínez,22,Spain,Central Midfield,CM,€1.20m,Atlético Levante UD,Spain,-,Levante UD,2020
Dani Cárdenas,23,Spain,Goalkeeper,GK,€2.00m,Atlético Levante UD,Spain,-,Levante UD,2020
Martín Montoya,29,Spain,Right-Back,RB,€1.50m,Brighton & Hove Albion,England,free transfer,Real Betis Balompié,2020
Claudio Bravo,37,Chile,Goalkeeper,GK,€1.00m,Manchester City,England,free transfer,Real Betis Balompié,2020
Víctor Ruiz,31,Spain,Centre-Back,CB,€1.50m,Besiktas JK,Turkey,free transfer,Real Betis Balompié,2020
Rober González,19,Spain,Right Winger,RW,€2.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2020
Yassin Fekir,23,France,Attacking Midfield,AM,€300k,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2020
Paul Akouokou,22,Cote d'Ivoire,Defensive Midfield,DM,€4.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2020
Edgar González,23,Spain,Centre-Back,CB,€10.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2020
Shon Weissman,24,Israel,Centre-Forward,CF,€5.00m,Wolfsberger AC,Austria,€4.00m,Real Valladolid CF,2020
Javi Sánchez,23,Spain,Centre-Back,CB,€3.00m,Real Madrid,Spain,€3.00m,Real Valladolid CF,2020
Saidy Janko,24,The Gambia,Right-Back,RB,€1.00m,FC Porto,Portugal,€1.90m,Real Valladolid CF,2020
Jawad El Yamiq,28,Morocco,Centre-Back,CB,€2.00m,Genoa CFC,Italy,€250k,Real Valladolid CF,2020
Raúl Carnero,31,Spain,Left-Back,LB,€200k,Getafe CF,Spain,€200k,Real Valladolid CF,2020
Bruno González,30,Spain,Centre-Back,CB,€500k,Levante UD,Spain,free transfer,Real Valladolid CF,2020
Roque Mesa,31,Spain,Central Midfield,CM,€2.50m,Sevilla FC,Spain,free transfer,Real Valladolid CF,2020
Roberto,34,Spain,Goalkeeper,GK,-,West Ham United,England,free transfer,Real Valladolid CF,2020
Luis Pérez,25,Spain,Right-Back,RB,€1.50m,CD Tenerife,Spain,free transfer,Real Valladolid CF,2020
Fabián Orellana,34,Chile,Right Winger,RW,€250k,SD Eibar,Spain,free transfer,Real Valladolid CF,2020
Carlos Doncel,23,Spain,Left Winger,LW,€400k,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2020
Diego Alende,22,Spain,Centre-Back,CB,€600k,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2020
Roberto Corral,22,Spain,Left-Back,LB,€200k,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2020
Kike Pérez,23,Spain,Central Midfield,CM,€4.50m,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2020
Víctor García,23,Spain,Right Winger,RW,€400k,Real Valladolid Promesas,Spain,-,Real Valladolid CF,2020
Álvaro Giménez,29,Spain,Centre-Forward,CF,€600k,Birmingham City,England,€2.70m,Cádiz CF,2020
Anthony Lozano,27,Honduras,Centre-Forward,CF,€2.80m,Girona FC,Spain,€2.50m,Cádiz CF,2020
Iván Alejo,25,Spain,Right Winger,RW,€1.20m,Getafe CF,Spain,€2.00m,Cádiz CF,2020
Jorge Pombo,26,Spain,Attacking Midfield,AM,€500k,Real Zaragoza,Spain,€1.20m,Cádiz CF,2020
Filip Malbasic,27,Serbia,Right Winger,RW,€600k,CD Tenerife,Spain,€1.00m,Cádiz CF,2020
Dani Sotres,27,Spain,Goalkeeper,GK,€200k,Salamanca CF UDS,Spain,free transfer,Cádiz CF,2020
Pedro Alcalá,31,Spain,Centre-Back,CB,€400k,Girona FC,Spain,free transfer,Cádiz CF,2020
Jens Jönsson,27,Denmark,Defensive Midfield,DM,€3.00m,Konyaspor,Turkey,free transfer,Cádiz CF,2020
Nano Mesa,25,Spain,Centre-Forward,CF,€250k,SD Eibar,Spain,free transfer,Cádiz CF,2020
David Mayoral,23,Spain,Right Winger,RW,€100k,UCAM Murcia CF,Spain,free transfer,Cádiz CF,2020
Álvaro Negredo,34,Spain,Centre-Forward,CF,€1.20m,Al-Nasr SC (UAE),United Arab Emirates,free transfer,Cádiz CF,2020
Gaspar Panadero,22,Spain,Left Winger,LW,€150k,Al-Wahda FC Abu Dhabi,United Arab Emirates,free transfer,Cádiz CF,2020
Sergio González,23,Spain,Centre-Back,CB,€500k,Cádiz CF B,Spain,-,Cádiz CF,2020
Damian Kadzior,28,Poland,Right Winger,RW,€1.00m,GNK Dinamo Zagreb,Croatia,€2.00m,SD Eibar,2020
Aleix García,23,Spain,Central Midfield,CM,€10.00m,FC Dinamo 1948,Romania,free transfer,SD Eibar,2020
Miguel Atienza,21,Spain,Central Midfield,CM,€700k,CD Vitoria,Spain,-,SD Eibar,2020
Carlos Isaac,22,Spain,Right-Back,RB,€300k,Atlético de Madrid B,Spain,free transfer,Deportivo Alavés,2020
Jota Peleteiro,29,Spain,Right Winger,RW,-,Aston Villa,England,free transfer,Deportivo Alavés,2020
Javi López,18,Spain,Left-Back,LB,€700k,Deportivo Alavés B,Spain,-,Deportivo Alavés,2020
Puma,22,Panama,Left Winger,LW,€1.50m,Deportivo Alavés B,Spain,-,Deportivo Alavés,2020
Fabrice Ondoa,25,Cameroon,Goalkeeper,GK,€400k,Without ClubWithout Club,Without Club,-,Deportivo Alavés,2020
Antonio Perera,23,Spain,Defensive Midfield,DM,€400k,Deportivo Alavés B,Spain,-,Deportivo Alavés,2020
Borja García,29,Spain,Attacking Midfield,AM,€1.00m,Girona FC,Spain,€1.50m,SD Huesca,2020
Pablo Insua,26,Spain,Centre-Back,CB,€800k,FC Schalke 04,Germany,€1.00m,SD Huesca,2020
Dimitrios Siovas,32,Greece,Centre-Back,CB,€450k,CD Leganés,Spain,€1.00m,SD Huesca,2020
Andrés Fernández,33,Spain,Goalkeeper,GK,€600k,Villarreal CF,Spain,€500k,SD Huesca,2020
Gastón Silva,26,Uruguay,Left-Back,LB,€1.50m,CA Independiente,Argentina,free transfer,SD Huesca,2020
Sandro Ramírez,25,Spain,Centre-Forward,CF,€2.00m,Everton FC,England,free transfer,SD Huesca,2020
Juan Peñaloza,20,Colombia,Left Midfield,LM,€250k,SD Ejea,Spain,-,SD Huesca,2020
Kike Hermoso,20,Spain,Centre-Back,CB,€200k,SD Ejea,Spain,-,SD Huesca,2020
Ronald Gbizie,23,Cote d'Ivoire,Central Midfield,CM,€100k,SD Ejea,Spain,-,SD Huesca,2020
Miguel Baeza,20,Spain,Attacking Midfield,AM,€1.00m,Real Madrid Castilla,Spain,€2.50m,Celta de Vigo,2020
Augusto Solari,29,Argentina,Right Winger,RW,€2.50m,Racing Club,Argentina,€500k,Celta de Vigo,2020
Renato Tapia,25,Peru,Defensive Midfield,DM,€7.50m,Feyenoord Rotterdam,Netherlands,free transfer,Celta de Vigo,2020
Álvaro Vadillo,25,Spain,Left Winger,LW,€600k,Granada CF,Spain,free transfer,Celta de Vigo,2020
Facundo Ferreyra,29,Argentina,Centre-Forward,CF,€600k,SL Benfica,Portugal,free transfer,Celta de Vigo,2020
Raúl Guti,23,Spain,Central Midfield,CM,€3.00m,Real Zaragoza,Spain,€5.00m,Elche CF,2020
Tete Morente,23,Spain,Left Winger,LW,€2.50m,Málaga CF,Spain,€500k,Elche CF,2020
Emiliano Rigoni,27,Argentina,Right Winger,RW,€3.50m,Zenit St. Petersburg,Russia,€100k,Elche CF,2020
Diego González,25,Spain,Centre-Back,CB,€1.50m,Málaga CF,Spain,free transfer,Elche CF,2020
Guido Carrillo,29,Argentina,Centre-Forward,CF,€1.00m,Southampton FC,England,free transfer,Elche CF,2020
Antonio Barragán,33,Spain,Right-Back,RB,-,Real Betis Balompié,Spain,free transfer,Elche CF,2020
Luismi Sánchez,28,Spain,Defensive Midfield,DM,€600k,Real Valladolid CF,Spain,free transfer,Elche CF,2020
Miguel Cifuentes,29,Spain,Right Winger,RW,€400k,Málaga CF,Spain,free transfer,Elche CF,2020
Juan Sánchez Miño,30,Argentina,Left-Back,LB,€350k,CA Independiente,Argentina,free transfer,Elche CF,2020
Jeison Lucumí,25,Colombia,Right Winger,RW,€1.20m,Tigres UANL,Mexico,free transfer,Elche CF,2020
Helibelton Palacios,27,Colombia,Right-Back,RB,€1.20m,Without ClubWithout Club,Without Club,-,Elche CF,2020
Pablo Piatti,31,Argentina,Left Winger,LW,€700k,Without ClubWithout Club,Without Club,-,Elche CF,2020
Mourad El Ghezouani,22,Morocco,Centre-Forward,CF,€700k,Elche Ilicitano,Spain,-,Elche CF,2020
Rodrigo de Paul,27,Argentina,Central Midfield,CM,€40.00m,Udinese Calcio,Italy,€35.00m,Atlético de Madrid,2021
