In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
Marc Bartra,27,Spain,Centre-Back,CB,€4.50m,Borussia Dortmund,Germany,€10.50m,Real Betis Balompié,2017
Ryad Boudebouz,27,Algeria,Attacking Midfield,AM,€1.50m,Montpellier HSC,France,€7.00m,Real Betis Balompié,2017
Víctor Camarasa,23,Spain,Central Midfield,CM,€800k,Levante UD,Spain,€7.00m,Real Betis Balompié,2017
Cristian Tello,25,Spain,Left Winger,LW,€3.00m,FC Barcelona,Spain,€4.00m,Real Betis Balompié,2017
Sergio León,28,Spain,Centre-Forward,CF,€2.00m,CA Osasuna,Spain,€3.50m,Real Betis Balompié,2017
Andrés Guardado,30,Mexico,Central Midfield,CM,€1.50m,PSV Eindhoven,Netherlands,€2.50m,Real Betis Balompié,2017
Zouhair Feddal,27,Morocco,Centre-Back,CB,€1.50m,Deportivo Alavés,Spain,€2.50m,Real Betis Balompié,2017
Javi García,30,Spain,Defensive Midfield,DM,-,Zenit St. Petersburg,Russia,€1.50m,Real Betis Balompié,2017
Juanjo Narváez,22,Colombia,Centre-Forward,CF,€1.20m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2017
Loren Morón,24,Spain,Centre-Forward,CF,€2.50m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2017
Francis Guerrero,21,Spain,Right-Back,RB,€50k,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2017
Junior Firpo,21,Dominican Republic,Left-Back,LB,€12.00m,Betis Deportivo Balompié,Spain,-,Real Betis Balompié,2017
Guilherme,26,Brazil,Defensive Midfield,DM,€3.00m,Udinese Calcio,Italy,€4.50m,Deportivo de La Coruña,2017
Fabian Schär,25,Switzerland,Centre-Back,CB,€10.00m,TSG 1899 Hoffenheim,Germany,€3.00m,Deportivo de La Coruña,2017
Juanfran Moreno,28,Spain,Right-Back,RB,€600k,Watford FC,England,€1.00m,Deportivo de La Coruña,2017
Gerard Valentín,23,Spain,Right Winger,RW,€800k,Gimnàstic de Tarragona,Spain,€1.00m,Deportivo de La Coruña,2017
Eneko Bóveda,29,Spain,Centre-Back,CB,-,Athletic Bilbao,Spain,free transfer,Deportivo de La Coruña,2017
Michael Krohn-Dehli,34,Denmark,Central Midfield,CM,-,Sevilla FC,Spain,free transfer,Deportivo de La Coruña,2017
Sulley Muntari,33,Ghana,Central Midfield,CM,-,Without ClubWithout Club,Without Club,-,Deportivo de La Coruña,2017
Dimitrios Siovas,28,Greece,Centre-Back,CB,€450k,Olympiacos Piraeus,Greece,€3.00m,CD Leganés,2017
Ezequiel Muñoz,26,Argentina,Centre-Back,CB,€150k,Genoa CFC,Italy,€2.50m,CD Leganés,2017
Tito,31,Spain,Right-Back,RB,-,Granada CF,Spain,€600k,CD Leganés,2017
Mauro dos Santos,28,Argentina,Centre-Back,CB,€250k,SD Eibar,Spain,free transfer,CD Leganés,2017
Raúl Carnero,28,Spain,Left-Back,LB,€200k,Deportivo Alavés,Spain,free transfer,CD Leganés,2017
Gerard Gumbau,22,Spain,Defensive Midfield,DM,€3.00m,FC Barcelona B,Spain,free transfer,CD Leganés,2017
Iván Cuéllar,33,Spain,Goalkeeper,GK,€100k,Sporting Gijón,Spain,free transfer,CD Leganés,2017
Javi Eraso,27,Spain,Central Midfield,CM,€300k,Athletic Bilbao,Spain,free transfer,CD Leganés,2017
Waly Diouf,20,Senegal,Centre-Back,CB,€200k,AJ Auxerre B,France,free transfer,CD Leganés,2017
Owusu,20,Ghana,Centre-Forward,CF,€850k,Sporting Club Accra,Ghana,?,CD Leganés,2017
Emmanuel Boateng,21,Ghana,Left Winger,LW,€700k,Moreirense FC,Portugal,€2.90m,Levante UD,2017
Cheick Doukouré,24,Cote d'Ivoire,Defensive Midfield,DM,€600k,FC Metz,France,€1.60m,Levante UD,2017
Enis Bardhi,22,North Macedonia,Attacking Midfield,AM,€5.00m,Újpest FC,Hungary,€1.50m,Levante UD,2017
Ivi López,23,Spain,Attacking Midfield,AM,€3.50m,Sevilla Atlético,Spain,€1.20m,Levante UD,2017
Armando Sadiku,26,Albania,Centre-Forward,CF,€800k,Legia Warszawa,Poland,€1.00m,Levante UD,2017
Mitchell Langerak,29,Australia,Goalkeeper,GK,€600k,VfB Stuttgart,Germany,€600k,Levante UD,2017
Oier Olazábal,27,Spain,Goalkeeper,GK,€250k,Granada CF,Spain,€200k,Levante UD,2017
Antonio Luna,26,Spain,Left-Back,LB,€450k,SD Eibar,Spain,free transfer,Levante UD,2017
Samu García,27,Spain,Right Winger,RW,-,Rubin Kazan,Russia,free transfer,Levante UD,2017
Koke Vegas,22,Spain,Goalkeeper,GK,€300k,Atlético Levante UD,Spain,-,Levante UD,2017
Bernardo Espinosa,27,Colombia,Centre-Back,CB,€1.50m,Middlesbrough FC,England,€4.50m,Girona FC,2017
Cristhian Stuani,30,Uruguay,Centre-Forward,CF,€2.00m,Middlesbrough FC,England,€2.50m,Girona FC,2017
Anthony Lozano,24,Honduras,Centre-Forward,CF,€2.80m,FC Barcelona B,Spain,€1.75m,Girona FC,2017
Carles Planas,26,Spain,Left-Back,LB,-,Celta de Vigo,Spain,free transfer,Girona FC,2017
David Timor,27,Spain,Defensive Midfield,DM,€1.00m,CD Leganés,Spain,free transfer,Girona FC,2017
Gorka Iraizoz,36,Spain,Goalkeeper,GK,-,Athletic Bilbao,Spain,free transfer,Girona FC,2017
Farid Boulaya,24,Algeria,Attacking Midfield,AM,€2.00m,SC Bastia,France,?,Girona FC,2017
Marcel Lizak,20,Poland,Goalkeeper,GK,-,Girona FC B,Spain,-,Girona FC,2017
Amath Ndiaye,21,Senegal,Left Winger,LW,€2.00m,Atlético de Madrid,Spain,€3.00m,Getafe CF,2017
Djené,25,Togo,Centre-Back,CB,€6.00m,Sint-Truidense VV,Belgium,€2.50m,Getafe CF,2017
Francisco Portillo,27,Spain,Right Winger,RW,€1.50m,Real Betis Balompié,Spain,€1.50m,Getafe CF,2017
Filip Manojlovic,21,Serbia,Goalkeeper,GK,€400k,Red Star Belgrade,Serbia,€1.25m,Getafe CF,2017
Álvaro Jiménez,22,Spain,Right Winger,RW,€600k,Real Madrid Castilla,Spain,€1.00m,Getafe CF,2017
Dani Pacheco,26,Spain,Attacking Midfield,AM,€350k,Real Betis Balompié,Spain,€1.00m,Getafe CF,2017
Mathías Olivera,19,Uruguay,Left-Back,LB,€18.00m,Club Nacional,Uruguay,€850k,Getafe CF,2017
Chuli,26,Spain,Centre-Forward,CF,€150k,UD Almería,Spain,€700k,Getafe CF,2017
Bruno González,27,Spain,Centre-Back,CB,€500k,Real Betis Balompié,Spain,€600k,Getafe CF,2017
Fayçal Fajr,28,Morocco,Central Midfield,CM,€1.50m,Deportivo de La Coruña,Spain,free transfer,Getafe CF,2017
Gaku Shibasaki,25,Japan,Central Midfield,CM,€1.00m,CD Tenerife,Spain,free transfer,Getafe CF,2017
Ángel Rodríguez,30,Spain,Centre-Forward,CF,€1.00m,Real Zaragoza,Spain,free transfer,Getafe CF,2017
Rubén Yáñez,23,Spain,Goalkeeper,GK,€1.00m,Real Madrid,Spain,free transfer,Getafe CF,2017
Rober Ibáñez,24,Spain,Right Winger,RW,€500k,Valencia CF,Spain,free transfer,Getafe CF,2017
Mathieu Flamini,33,France,Defensive Midfield,DM,-,Without ClubWithout Club,Without Club,-,Getafe CF,2017
Yuri Berchiche,28,Spain,Left-Back,LB,€2.00m,Paris Saint-Germain,France,€24.00m,Athletic Bilbao,2018
Ibai Gómez,29,Spain,Left Winger,LW,-,Deportivo Alavés,Spain,€4.00m,Athletic Bilbao,2018
Ander Capa,26,Spain,Right-Back,RB,€2.00m,SD Eibar,Spain,€3.00m,Athletic Bilbao,2018
Cristian Ganea,26,Romania,Left-Back,LB,€700k,FC Viitorul Constanta,Romania,€1.00m,Athletic Bilbao,2018
Kenan Kodro,25,Bosnia-Herzegovina,Centre-Forward,CF,€1.70m,FC Copenhagen,Denmark,€900k,Athletic Bilbao,2018
Dani García,28,Spain,Central Midfield,CM,€2.00m,SD Eibar,Spain,free transfer,Athletic Bilbao,2018
Unai Simón,21,Spain,Goalkeeper,GK,€25.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2018
Andoni López,22,Spain,Left-Back,LB,€300k,Bilbao Athletic,Spain,-,Athletic Bilbao,2018
Thomas Lemar,22,France,Attacking Midfield,AM,€25.00m,AS Monaco,France,€72.00m,Atlético de Madrid,2018
Gelson Martins,23,Portugal,Right Winger,RW,€8.00m,Sporting CP,Portugal,€22.00m,Atlético de Madrid,2018
Rodri,22,Spain,Defensive Midfield,DM,€80.00m,Villarreal CF,Spain,€20.00m,Atlético de Madrid,2018
Nikola Kalinic,30,Croatia,Centre-Forward,CF,€600k,AC Milan,Italy,€14.50m,Atlético de Madrid,2018
Santiago Arias,26,Colombia,Right-Back,RB,€3.00m,PSV Eindhoven,Netherlands,€11.00m,Atlético de Madrid,2018
Jonny Otto,24,Spain,Left-Back,LB,€17.00m,Celta de Vigo,Spain,€7.00m,Atlético de Madrid,2018
Nehuén Pérez,18,Argentina,Centre-Back,CB,€8.00m,Argentinos Juniors U20,Argentina,€2.00m,Atlético de Madrid,2018
Antonio Adán,31,Spain,Goalkeeper,GK,€1.50m,Real Betis Balompié,Spain,€1.50m,Atlético de Madrid,2018
Caio Henrique,21,Brazil,Left-Back,LB,€20.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2018
Youssef En-Nesyri,21,Morocco,Centre-Forward,CF,€15.00m,Málaga CF,Spain,€6.00m,CD Leganés,2018
José Manuel Arnáiz,23,Spain,Left Winger,LW,€3.00m,FC Barcelona B,Spain,€5.00m,CD Leganés,2018
Vasyl Kravets,21,Ukraine,Left-Back,LB,€1.00m,CD Lugo,Spain,€2.50m,CD Leganés,2018
Recio,27,Spain,Central Midfield,CM,€700k,Málaga CF,Spain,€1.50m,CD Leganés,2018
Josua Mejías,20,Venezuela,Centre-Back,CB,€300k,Carabobo FC,Venezuela,€450k,CD Leganés,2018
Facundo García,18,Argentina,Central Midfield,CM,€200k,Club Olimpo,Argentina,€350k,CD Leganés,2018
Andrés Prieto,25,Spain,Goalkeeper,GK,€200k,Málaga CF,Spain,free transfer,CD Leganés,2018
Rodri Tarín,21,Spain,Centre-Back,CB,€1.00m,FC Barcelona B,Spain,free transfer,CD Leganés,2018
Rubén Pérez,29,Spain,Defensive Midfield,DM,€1.00m,Granada CF,Spain,free transfer,CD Leganés,2018
